Person,Role,Organization,Context,Lesson,Source
Todd Ortberg,Professor of Practice; retired VC,Iowa State University (Ivy College of Business); formerly Coral Ventures,Instructor for FIN/ENTRP 4350 and 4310. Invested $280M in mostly tech funds; board member/observer at 15 tech companies; 20 patents.,"Course examples come from a real operator-investor career in fiber/broadband and enterprise software, not from textbooks.",SRC-P-001
Rod Canion,Co-founder,Compaq,"One of three Compaq founders in the Silicon Cowboys case; listed as ""OUT"" during the post-1995 decline.",Founders are often gone well before the final exit; founding a company is not the same as controlling its endgame.,SRC-P-007
Eckhard Pfeiffer,Executive,Compaq,"Listed as ""Ekhard OUT"" in the post-1995 decline preceding the HP acquisition. [Spelling as it appears in the deck.]",Leadership turnover accompanied the strategic decline after the DEC acquisition.,SRC-P-007
Elon Musk,[NOT PROVIDED],[NOT PROVIDED],"Appears in the instructor MNVC presidency line: ""President of MNVC- Elon Musk. Lost the checkbook."" [INTERPRETATION UNCERTAIN - context not in retrieved portion.]",[NOT PROVIDED],SRC-P-001
Henry Kravis,Co-founder,KKR,Led the winning RJR Nabisco bid at $109/share. The instructor's stated opinion is that he wanted the notoriety of doing the biggest LBO as the 'inventor' of the form.,Ego and hubris are real deal variables; his largess likely persuaded the board to trust the expert.,SRC-P-010
Ross Johnson,CEO,RJR Nabisco,Initiated the management-led buyout with Shearson Lehman; his spending became the target of the PE cost-cutting thesis.,Conflict of interest: serving as both CEO and bidder.,SRC-P-008
Michael Milken,Junk bond lead,Drexel Burnham Lambert,"Pioneered high-yield debt financing for LBOs. Jailed 1990: six counts of securities fraud and conspiracy, 22 months, $600M fine plus ~$200M civil settlements.",Proved diversified junk portfolios outyield investment grade after defaults - the intellectual origin of non-bank lending.,SRC-P-009
Steve Lucas,CEO,Marketo,Installed by Vista five months after acquisition; ran the operator playbook that took net margin from -31% to +2%.,New leadership is often the first move in an operational PE thesis.,SRC-P-010
Ben Rosen,Board member,Compaq / Sevin Rosen,Stayed on Compaq's board for 18 years after the IPO.,Described as very rare - VCs normally leave boards at exit to work on new deals.,SRC-P-007
Alfred Winslow Jones,Founder,First hedge fund (1949),"Combined short selling, leverage and pooled investment into the classic long/short model. In 1952 restructured into an LP/GP vehicle with 2% fees and 20% carried interest.",The 2-and-20 LP/GP structure used by VC and PE today originates with a 1952 hedge fund.,SRC-P-014
Ray Dalio,Founder,Bridgewater Associates,Founder of the largest US hedge fund ($124.0B AUM).,[NOT PROVIDED],SRC-P-014
Michael Steinhardt,Investor,[NOT PROVIDED],"In Steinhardt v. Howard-Anderson, found to have improperly traded Calix shares while a representative plaintiff in an Occam Networks class action; disgorged $534,071.45. Separately surrendered 180 looted antiquities worth ~$70M in 2021.",The instructor's example of 'real world sharks' - and it touched his own companies.,SRC-P-010
