Investor_Firm,Type,Context,Company_Deal,Lesson,Source
Sevin Rosen,Venture capital firm,"Led all three institutional rounds of Compaq: $2.5M Series A, $5.0M Series B, $25M Series C. Fund I was $25M and returned ~$191M gross.",Compaq; Lotus,A single $25M fund holding both the first laptop and the first spreadsheet returned ~7.6x gross - venture returns are driven by a small number of extraordinary outcomes.,SRC-P-007
IVP (Institutional Venture Partners),Venture capital firm,Participated in Compaq Series B and Series C alongside Sevin Rosen.,Compaq,Later rounds syndicate; the lead does not carry the full check as rounds grow.,SRC-P-007
Coral Ventures,Venture capital firm,Instructor firm; raised and invested $280M in mostly tech funds.,Multiple tech portfolio companies,[NOT PROVIDED],SRC-P-001
Fermata Ventures,Lifestyle fund,Instructor was President; direct investments in music/media/tech.,[NOT PROVIDED],Not every venture vehicle chases power-law returns; lifestyle funds exist with different objectives.,SRC-P-001
Alphabet (GV & CapitalG),Corporate VC,Listed #1 among S&P 500 companies with corporate VC arms.,[NOT PROVIDED],CVC is dominated by the largest technology balance sheets.,SRC-P-006
Intel Capital,Corporate VC,Listed among S&P 500 CVC arms.,[NOT PROVIDED],[NOT PROVIDED],SRC-P-006
Microsoft M12,Corporate VC,Listed among S&P 500 CVC arms.,[NOT PROVIDED],[NOT PROVIDED],SRC-P-006
Salesforce Ventures,Corporate VC,Listed among S&P 500 CVC arms.,[NOT PROVIDED],[NOT PROVIDED],SRC-P-006
In-Q-Tel,Strategic/government tech VC,Listed #50; described as independent strategic tech VC for the US government.,[NOT PROVIDED],Strategic (non-financial) investment mandates exist well outside corporates.,SRC-P-006
Dell Technologies Capital,Corporate VC,Listed among CVC arms; Dell also appears repeatedly as an acquirer in the instructor portfolio.,Alvarri; Force10 Networks,The same corporate can be both a CVC investor and the eventual acquirer - a real exit path.,SRC-P-006;SRC-P-001
